SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.4003265,11.2992030756,46.4003265,11.2993617311,46.4003265,11.2992030756,46.4003265,11.2992030756,46.4003265,11.2992461008,46.4003265,11.2992030756
46.4004255,11.2992703025,46.4003265,11.2994235798,46.4004255,11.2992703025,46.4004255,11.2992703025,46.4003265,11.2993106387,46.4004255,11.2992703025
46.4004292358,11.299137,46.4004255,11.2994247311,46.4004292358,11.299137,46.4004292358,11.299137,46.4004255,11.2993091008,46.4004292358,11.299137
46.4005245,11.2991934706,46.4004255,11.2994865798,46.4005245,11.2991934706,46.4005245,11.2991934706,46.4004255,11.2993736387,46.4005245,11.2991934706
46.4005245,11.2992073782,46.4005245,11.2995058655,46.4005245,11.2992073782,46.4005245,11.2992073782,46.4005245,11.2993821681,46.4005245,11.2992073782
46.4006255,11.299274605,46.4005245,11.2995704034,46.4006255,11.299274605,46.4006255,11.299274605,46.4005245,11.299449395,46.4006255,11.299274605
46.4006255,11.2995019496,46.4006255,11.2995584202,46.4006255,11.2995019496,46.4006255,11.2995019496,46.4006255,11.2994427899,46.4006255,11.2995019496
46.400726,11.2995691765,46.4006255,11.2996256471,46.400726,11.2995691765,46.400726,11.2995691765,46.4006255,11.2995073277,46.400726,11.2995691765
46.400726,11.2995535042,46.400726,11.2996234202,46.400726,11.2995535042,46.400726,11.2995535042,46.400726,11.2995077899,46.400726,11.2995535042
46.4008275,11.2996234202,46.400726,11.2996906471,46.4008275,11.2996234202,46.4008275,11.2996234202,46.400726,11.2995750168,46.4008275,11.2996234202
46.4008275,11.2996376387,46.4008275,11.2996887311,46.4008275,11.2996376387,46.4008275,11.2996376387,46.4008275,11.2995757899,46.4008275,11.2996376387
46.4009285,11.2996967983,46.4008275,11.2997532689,46.4009285,11.2996967983,46.4009285,11.2996967983,46.4008275,11.2996403277,46.4009285,11.2996967983
46.4009285,11.2994713782,46.4009285,11.2997591092,46.4009285,11.2994713782,46.4009285,11.2994713782,46.4009285,11.2996407899,46.4009285,11.2994713782
46.401028,11.2995305378,46.4009285,11.299820958,46.401028,11.2995305378,46.401028,11.2995305378,46.4009285,11.2997080168,46.401028,11.2995305378
46.401028,11.2997686387,46.4010410278,11.2998116639,46.401028,11.2997686387,46.401028,11.2997686387,46.401028,11.2997014118,46.401028,11.2997686387
46.4011285,11.2998358655,46.4010410278,11.2998735126,46.4011285,11.2998358655,46.4011285,11.2998358655,46.401028,11.2997659496,46.4011285,11.2998358655
46.4011341111,11.299598,46.4011285,11.2998884202,46.4011341111,11.299598,46.4011341111,11.299598,46.4011285,11.2997701008,46.4011341111,11.299598
46.4012295,11.2996544706,46.4011285,11.299952958,46.4012295,11.2996544706,46.4012295,11.2996544706,46.4011285,11.2998346387,46.4012295,11.2996544706
46.4012295,11.2998898824,46.4012406818,11.2999571092,46.4012295,11.2998898824,46.4012295,11.2998898824,46.4012295,11.299841479,46.4012295,11.2998898824
46.401332,11.2999597983,46.4012406818,11.300018958,46.401332,11.2999597983,46.401332,11.2999597983,46.4012295,11.2999060168,46.401332,11.2999597983
46.401433,11.3000319496,46.4014423868,11.3000803529,46.401433,11.3000319496,46.401433,11.3000319496,46.401433,11.2999701008,46.401433,11.3000319496
46.4015325,11.3000991765,46.4014423868,11.3001395126,46.4015325,11.3000991765,46.4015325,11.3000991765,46.401433,11.3000346387,46.4015325,11.3000991765
46.4016353704,11.299931,46.4016353704,11.3002133529,46.4016353704,11.299931,46.4016353704,11.299931,46.4016335,11.3001004118,46.4016353704,11.299931
46.4017345,11.2999901597,46.4016353704,11.3002752017,46.4017345,11.2999901597,46.4017345,11.2999901597,46.4016335,11.3001649496,46.4017345,11.2999901597
46.4017419182,11.299998,46.4017456273,11.3002722857,46.4017419182,11.299998,46.4017419182,11.299998,46.4017345,11.3001620336,46.4017419182,11.299998
46.4018365,11.3000544706,46.4017456273,11.3003341345,46.4018365,11.3000544706,46.4018365,11.3000544706,46.4017345,11.3002292605,46.4018365,11.3000544706
46.401937,11.3003515042,46.4019407547,11.3004133529,46.401937,11.3003515042,46.401937,11.3003515042,46.401937,11.3002977227,46.401937,11.3003515042
